Cleaned_Ancestry,Initial_Ancestry_Sum,Initial_Ancestry_Count,Initial_Ancestry_Sum_%,Initial_Ancestry_Count_%,Replication_Ancestry_Sum,Replication_Ancestry_Count,Replication_Ancestry_Sum_%,Replication_Ancestry_Count_%
Hispanic/Latin American,48109.0,7.0,0.01894916036656024,0.051327174072444644,8622.0,5.0,0.011356433520350954,0.075007500750075
French,47074.0,63.0,0.0185414948366305,0.4619445666520018,276.0,1.0,0.0003635323186751175,0.015001500150015003
Malay,46860.0,30.0,0.018457204572471117,0.21997360316761988,22036.0,27.0,0.029024631066394527,0.40504050405040504
German,46573.0,19.0,0.018344161087360162,0.1393166153394926,5569.0,4.0,0.007335186531528005,0.06000600060006001
Mexican,44896.0,26.0,0.017683624764952263,0.19064378941193721,27148.0,17.0,0.03575788183837714,0.255025502550255
Tibetan,44447.0,59.0,0.01750677276211318,0.43261475289631907,161.0,1.0,0.0002120605192271519,0.015001500150015003
Pakistani,42260.0,13.0,0.016645357772783382,0.09532189470596861,6115.0,6.0,0.008054348292385305,0.09000900090009001
Mexican American,38107.0,45.0,0.01500957521645661,0.32996040475142985,18703.0,24.0,0.024634583174567837,0.36003600360036003
Latino American,33199.0,7.0,0.013076413457137613,0.051327174072444644,1242.0,2.0,0.0016358954340380289,0.030003000300030006
Val Borbera,31838.0,23.0,0.012540343132273481,0.16864642909517524,910.0,1.0,0.0011986029347621629,0.015001500150015003
Orcadian,30241.0,27.0,0.011911317188990588,0.19797624285085788,1035.0,2.0,0.0013632461950316907,0.030003000300030006
Native American,29984.0,51.0,0.011810090096051513,0.3739551253849538,,,,
